"","load","honeycomb_mode","ipa_bound","bound","ipa_consistency","lease","condition","purchase_lat_mean","purchase_lat_median","purchase_lat_p99","view_lat_mean","view_lat_median","view_lat_p99","overall_lat_mean","overall_rate"
"71",512,"google","tolerance:0.05","error: 5%","weak","200ms",NA,52.1381248135,2.20157,372.53112,56.565319676,1.980206,392.892856,49.0188948992392,3993.6258465454
"72",512,"amazon","tolerance:0.05","error: 5%","weak","200ms",NA,52.7984837022,2.342872,444.594785,51.6015160474,1.998838,486.540104,47.3014442197401,3866.5323441236
"73",512,"flat5","tolerance:0.01","error: 1%","weak","0ms",NA,6.61484734011,6.476513,12.293282,6.1858507771,6.081497,7.368032,6.38520036570744,4109.2942606063
"74",512,"slowpoke_flat","tolerance:0.01","error: 1%","weak","0ms","Slow replica",37.3152219997,11.429213,213.395244,29.0801785372,11.085729,175.043538,28.0801635043871,4022.4108291318
"75",512,"google","tolerance:0.01","error: 1%","weak","0ms",NA,83.2869573735,41.053837,510.921158,94.819734185,3.241522,863.639924,78.9909815359407,3964.3076168606
"76",512,"amazon","tolerance:0.01","error: 1%","weak","0ms",NA,195.075479005,83.216178,2454.968122,168.240402088,83.31731,1857.587484,143.442506379076,3368.5041499195
"77",512,"flat5","tolerance:0.01","error: 1%","weak","200ms",NA,6.6317070447,5.998106,17.351177,5.76218343492,5.472041,6.414605,6.07429427839051,4064.72821815
"78",512,"slowpoke_flat","tolerance:0.01","error: 1%","weak","200ms","Slow replica",38.014280038,11.284117,455.289161,25.801171882,10.999942,191.315274,25.8793297874744,4135.2261951315
"79",512,"google","tolerance:0.01","error: 1%","weak","200ms",NA,183.782830645,104.339791,4470.742708,126.79760314,29.182648,1723.411687,111.843560837821,3623.2889389553
"80",512,"amazon","tolerance:0.01","error: 1%","weak","200ms",NA,357.833070633,87.055932,9694.055833,176.794590805,79.676483,1518.915021,165.917090330026,2808.5107001097
"81",2048,"flat5","consistency:strong","strong","strong","0ms",NA,190.394200135,37.211998,3526.791459,118.13677225,26.237007,3123.042262,105.682434688004,4096.9935202799
"82",2048,"slowpoke_flat","consistency:strong","strong","strong","0ms",NA,1056.84141975,54.904707,20251.276893,1150.94419982,31.702074,20784.894233,918.031240266409,2305.1549497215
"83",2048,"google","consistency:strong","strong","strong","0ms",NA,2674.40856753,510.775721,34956.332508,2373.92240562,336.643738,38386.744215,1971.75694813485,696.38516747477
"84",2048,"amazon","consistency:strong","strong","strong","0ms","Geo-
distributed",2617.62512791,372.470393,38756.669951,2506.6652357,258.718506,37770.536803,2043.20710979639,742.77536149759
"85",2048,"flat5","consistency:strong","strong","strong","200ms",NA,89.2275328724,36.956199,2407.578269,93.1845275694,26.239429,2608.718898,77.9546858959378,4032.368725045
"86",2048,"slowpoke_flat","consistency:strong","strong","strong","200ms",NA,1091.61403892,67.258164,22919.216793,1101.09790099,31.836972,22817.029713,885.063786961862,2213.4322614457
"87",2048,"google","consistency:strong","strong","strong","200ms",NA,2865.60001429,500.351029,36775.235875,2395.41086452,333.959715,36000.168043,1998.83381895066,734.44230304929
"88",2048,"amazon","consistency:strong","strong","strong","200ms","Geo-
distributed",3019.1348898,393.539369,40212.02365,2439.21164547,258.878487,39523.15585,2036.38736808979,731.91956619349
"89",2048,"flat5","consistency:weakwrite","weak","weak","0ms",NA,7.29395217212,6.417262,26.948555,6.72093022973,6.064175,16.41841,6.8344694113734,4046.170021004
"90",2048,"slowpoke_flat","consistency:weakwrite","weak","weak","0ms",NA,17.3140512341,11.357673,102.544643,19.0245187572,11.043898,111.685149,18.9328950255903,3953.8632920569
"91",2048,"google","consistency:weakwrite","weak","weak","0ms",NA,52.144227009,2.460126,369.361038,54.1674267104,2.126736,364.250649,47.0535845481898,4025.2563753716
"92",2048,"amazon","consistency:weakwrite","weak","weak","0ms","Geo-
distributed",57.8191777358,2.494443,443.73408,59.5258416279,2.230594,517.645263,52.4531325034685,3945.0090093634
"93",2048,"flat5","consistency:weakwrite","weak","weak","200ms",NA,6.23804237299,5.906404,6.975145,5.86159196175,5.488714,6.486104,6.12271862870669,4097.7861753134
"94",2048,"slowpoke_flat","consistency:weakwrite","weak","weak","200ms",NA,17.0260929455,10.854216,103.178629,17.0915571032,10.836629,101.96363,17.5891857410722,4147.5164216263
"95",2048,"google","consistency:weakwrite","weak","weak","200ms",NA,53.1598127076,2.183252,384.368605,56.4772155584,1.960259,407.344711,49.2611988576947,4056.8548140203
"96",2048,"amazon","consistency:weakwrite","weak","weak","200ms","Geo-
distributed",47.7749400221,2.204718,394.852913,52.7481988944,1.990032,520.456054,47.2959565616157,3981.10089975
"97",2048,"flat5","tolerance:0.1","error: 10%","weak","0ms",NA,6.55274125119,6.446286,7.152053,6.17656961221,6.083296,6.853317,6.35187827009161,4054.9867914198
"98",2048,"slowpoke_flat","tolerance:0.1","error: 10%","weak","0ms",NA,21.0977396524,11.360712,102.827278,24.2034990244,11.038602,211.256561,22.9827030039525,4063.6214300488
"99",2048,"google","tolerance:0.1","error: 10%","weak","0ms",NA,58.1942288491,2.437882,440.991183,60.9728099099,2.177633,439.455162,52.5065795815819,4025.0223375791
"100",2048,"amazon","tolerance:0.1","error: 10%","weak","0ms","Geo-
distributed",50.1373241337,2.464099,432.193688,62.154454834,2.21282,557.121321,54.7860490509832,4069.973566896
"101",2048,"flat5","tolerance:0.1","error: 10%","weak","200ms",NA,6.70325230723,5.99455,16.665634,5.82831234067,5.474034,6.584916,6.15488631208599,4052.6180469093
"102",2048,"slowpoke_flat","tolerance:0.1","error: 10%","weak","200ms",NA,16.0815228162,10.865741,112.737285,14.9283937165,10.846954,101.646582,15.8354890987066,4072.0369179521
"103",2048,"google","tolerance:0.1","error: 10%","weak","200ms",NA,57.1204503534,2.365644,334.073353,57.137258242,1.984423,427.962047,51.5462851432242,3994.8202400857
"104",2048,"amazon","tolerance:0.1","error: 10%","weak","200ms","Geo-
distributed",50.6910604393,2.297083,414.485033,51.2176662759,2.008869,456.648555,46.3529693035249,3990.718988864
"105",2048,"flat5","tolerance:0.05","error: 5%","weak","0ms",NA,9.71184311945,6.443597,37.837108,6.9537971161,6.067487,16.41572,7.23822728026882,4026.4619649698
