"","load","honeycomb_mode","ipa_bound","bound","ipa_consistency","lease","condition","mix","read_lat_mean","read_lat_median","read_lat_p95","read_lat_p99","read_rate","incr_lat_mean","incr_lat_median","incr_rate","overall_latency_mean","read_strong_fraction"
"175",512,"slowpoke_flat","consistency:strong","strong","strong","0ms","Slow replica","default",71.1228104769,59.08499,118.724074,513.203438,4194.47760165,63.5262764448,50.19734,1045.52668763,69.60350367048,1
"176",2048,"amazon","consistency:strong","strong","strong","0ms","Geo-
distributed","default",805.491093083,758.171751,1890.977963,3023.784944,1313.65029851,758.815777588,747.691449,327.441647229,796.156029984,1
"177",4096,"fast","consistency:weakwrite","weak","strong","0ms","Local","default",0.307347447021,0.255719,0.577418,0.877376,6474.99025431,0.278473574903,0.260159,1621.87587021,0.3015726725974,0
"178",128,"flat5","consistency:weakwrite","weak","strong","0ms","Uniform
(5ms)","default",5.98955909939,5.325633,6.570183,20.686765,6481.29755438,5.4698640553,5.347888,1619.40264926,5.885620090572,0
"179",512,"slowpoke_flat","consistency:weakwrite","weak","strong","0ms","Slow replica","default",12.7246670256,11.255284,15.232006,17.015405,6362.28668158,13.464091514,11.457146,1592.1511313,12.87255192328,0
"180",2048,"amazon","consistency:weakwrite","weak","strong","0ms","Geo-
distributed","default",9.3629138738,1.501193,2.19437,346.795915,6128.71858543,7.25509631821,1.508367,1526.53620799,8.941350362682,0
"181",4096,"fast","latency:50ms","latency: 50ms","strong","0ms","Local","default",2.00800788069,0.631897,0.882375,49.681093,3227.71077471,0.691566035733,0.673075,803.390563089,1.7447195116986,0.972675966673572
"182",128,"flat5","latency:50ms","latency: 50ms","strong","0ms","Uniform
(5ms)","default",23.8346159959,22.096037,38.736576,45.942334,3110.75029891,21.0302867638,20.752077,773.560211333,23.27375014948,0.995337275629285
"183",512,"slowpoke_flat","latency:50ms","latency: 50ms","strong","0ms","Slow replica","default",37.7926643002,35.548661,49.827788,50.073558,3145.91643118,37.7658215642,35.052141,791.56029766,37.787295753,0.838960550141401
"184",2048,"amazon","latency:50ms","latency: 50ms","strong","0ms","Geo-
distributed","default",11.3406108576,1.531883,84.819306,275.078606,3137.90261898,131.898536769,117.163291,780.723860325,35.45219603988,0
"185",4096,"fast","latency:20ms","latency: 20ms","strong","0ms","Local","default",1.20327734062,0.621994,0.961817,19.686638,3187.68437358,0.682755889449,0.676788,798.118902132,1.0991730503858,0.974609015639374
"186",128,"flat5","latency:20ms","latency: 20ms","strong","0ms","Uniform
(5ms)","default",19.2530093954,19.419314,19.540049,19.789434,3135.88419551,20.908606383,20.613131,780.707511968,19.58412879292,0.209040134543114
"187",512,"slowpoke_flat","latency:20ms","latency: 20ms","strong","0ms","Slow replica","default",11.5669305922,10.716434,11.693787,12.551877,3183.19062382,47.6194975417,45.745455,790.604830784,18.7774439821,0
"188",2048,"amazon","latency:20ms","latency: 20ms","strong","0ms","Geo-
distributed","default",13.7792271565,1.47689,88.01623,327.034982,3111.92469426,137.0026688,116.513051,775.444518932,38.4239154852,0
"189",4096,"fast","latency:10ms","latency: 10ms","strong","0ms","Local","default",0.891495033382,0.635129,0.969156,9.723931,3194.91024642,0.693742496909,0.686892,797.816776513,0.8519445260874,0.966392125863784
"190",128,"flat5","latency:10ms","latency: 10ms","strong","0ms","Uniform
(5ms)","default",5.4367106057,5.403061,5.552464,5.686761,3177.61729306,23.9702503185,24.094515,796.754258714,9.14341854826,0
"191",512,"slowpoke_flat","latency:10ms","latency: 10ms","strong","0ms","Slow replica","default",11.6573093902,10.795968,11.964951,13.134289,3161.14416994,48.1598657607,46.376681,790.169818434,18.9578206643,0
"192",2048,"amazon","latency:10ms","latency: 10ms","strong","0ms","Geo-
distributed","default",15.1800768021,1.519727,102.339845,331.483917,3132.37498423,130.903704288,118.754176,771.94494117,38.32480229928,0
"193",4096,"flat5","tolerance:0.1","error: 10%","strong","0ms","High load","default",6.04404334241,5.778797,6.94463,9.767314,4960.41537482,6.50142909352,5.603354,1236.20607662,6.135520492632,0
"194",4096,"flat5","tolerance:0.05","error: 5%","strong","0ms","High load","default",6.53523424022,6.023755,8.370952,12.063908,4807.64222467,7.1433825801,5.987288,1205.70598945,6.656863908196,0
"195",4096,"flat5","tolerance:0.01","error: 1%","strong","0ms","High load","default",7.90752362568,6.932491,11.188587,29.839055,4995.01423144,12.2503901974,7.32577,1240.22984238,8.776096940024,0
"196",4096,"flat5","consistency:strong","strong","strong","0ms","High load","default",22.3571933581,20.044886,36.123282,38.948614,5763.75170501,19.128991373,18.994365,1434.80842456,21.71155296108,1
"197",4096,"flat5","consistency:weakwrite","weak","strong","0ms","High load","default",5.54401256739,5.319494,5.999521,7.65172,6477.09485697,5.44100098845,5.351659,1612.00525982,5.523410251602,0
"198",4096,"flat5","latency:50ms","latency: 50ms","strong","0ms","High load","default",23.7083894989,22.010004,37.569077,44.845935,3173.31761046,20.9812270538,20.633997,802.081979525,23.16295700988,0.995683571395577
"199",4096,"flat5","latency:20ms","latency: 20ms","strong","0ms","High load","default",19.1766830821,19.416066,19.532089,19.772262,3226.78456348,20.7960710698,20.563399,810.435723214,19.50056067964,0.204734026445947
"200",4096,"flat5","latency:10ms","latency: 10ms","strong","0ms","High load","default",5.50092841428,5.39018,5.533253,5.893293,3279.31331199,23.9710501723,23.83079,817.756296128,9.194952765884,0
