"","load","honeycomb_mode","ipa_bound","bound","ipa_consistency","lease","condition","retweet_lat_mean","retweet_lat_median","retweet_lat_p99","tweet_load_lat_mean","tweet_load_lat_median","tweet_load_lat_p99","timeline_lat_mean","timeline_lat_median","timeline_lat_p99","overall_lat_mean","overall_rate","containers"
"86",512,"google","consistency:weakwrite","weak","weak","20ms",NA,154.021896537,149.156609,233.373621,11.1185888108,10.505599,22.670515,36.4692788272,40.523859,85.672441,79.1604280050405,2033.7400716846,"{owl_cass_1: rhinoceros, owl_cass_2: platypus, owl_cass_3: sloth, owl_owl_1: ibex}"
"87",512,"amazon","consistency:weakwrite","weak","weak","20ms",NA,125.041394123,120.877663,195.671083,11.5987008858,11.063138,21.315172,36.3030922333,40.470168,79.22022,70.3439284341223,2065.2593163652,"{owl_cass_1: rhinoceros, owl_cass_2: platypus, owl_cass_3: sloth, owl_owl_1: ibex}"
"88",2048,"fast","consistency:weakwrite","weak","weak","20ms",NA,177.133874264,157.538247,505.408295,71.3397430384,74.533341,105.76039,260.860566735,247.831519,632.337058,246.636028391815,1654.7090529606,"{owl_cass_1: rhinoceros, owl_cass_2: platypus, owl_cass_3: sloth, owl_owl_1: ibex}"
"89",2048,"flat5","consistency:weakwrite","weak","weak","20ms",NA,202.650921966,179.976345,623.95037,75.875149393,79.93222,113.416368,280.529593836,279.757148,706.827763,270.826302076956,1550.1709513957,"{owl_cass_1: rhinoceros, owl_cass_2: platypus, owl_cass_3: sloth, owl_owl_1: ibex}"
"90",2048,"slowpoke_flat","consistency:weakwrite","weak","weak","20ms",NA,233.637699485,199.067318,760.045646,80.2389719975,84.926106,117.122286,337.019779395,309.973107,846.297695,314.9919869644,1478.1290929505,"{owl_cass_1: rhinoceros, owl_cass_2: platypus, owl_cass_3: sloth, owl_owl_1: ibex}"
"91",2048,"google","consistency:weakwrite","weak","weak","20ms",NA,350.542843535,298.119902,1037.418793,74.7256263856,74.626054,178.390609,328.056387414,274.946932,1098.441115,350.486645145086,1442.2557595909,"{owl_cass_1: rhinoceros, owl_cass_2: platypus, owl_cass_3: sloth, owl_owl_1: ibex}"
"92",2048,"amazon","consistency:weakwrite","weak","weak","20ms","Geo-
distributed",302.769049271,257.373392,929.765803,72.8385700133,74.451479,145.900346,300.763979716,256.696212,998.245826,315.649747210376,1497.1728983054,"{owl_cass_1: rhinoceros, owl_cass_2: platypus, owl_cass_3: sloth, owl_owl_1: ibex}"
"93",4096,"fast","consistency:weakwrite","weak","weak","20ms","Local",363.128382918,313.145705,1132.544948,148.748953703,150.806638,300.115787,667.933252042,748.366801,1501.976058,610.222632345805,1601.980462812,"{owl_cass_1: rhinoceros, owl_cass_2: platypus, owl_cass_3: sloth, owl_owl_1: ibex}"
"94",4096,"flat5","consistency:weakwrite","weak","weak","20ms","High load",409.616399936,350.609531,1459.948239,157.132294456,159.796834,211.211722,691.207487158,793.510718,1517.030148,638.734229204707,1508.7450664012,"{owl_cass_1: rhinoceros, owl_cass_2: platypus, owl_cass_3: sloth, owl_owl_1: ibex}"
"95",4096,"slowpoke_flat","consistency:weakwrite","weak","weak","20ms",NA,452.121955881,378.44451,1503.201703,162.859776878,163.428492,303.616433,861.311565522,914.037276,2082.724362,767.602097828661,1440.9204882513,"{owl_cass_1: rhinoceros, owl_cass_2: platypus, owl_cass_3: sloth, owl_owl_1: ibex}"
"96",4096,"google","consistency:weakwrite","weak","weak","20ms",NA,651.351613964,568.656881,2038.013573,172.97630973,158.413078,364.321694,795.798940964,799.110449,2295.711982,793.206023654042,1273.4571494867,"{owl_cass_1: rhinoceros, owl_cass_2: platypus, owl_cass_3: sloth, owl_owl_1: ibex}"
"97",4096,"amazon","consistency:weakwrite","weak","weak","20ms",NA,565.863826949,510.843883,1722.804718,171.591296906,160.538105,331.521145,782.776498346,895.219358,2198.458937,764.054539995473,1351.525433364,"{owl_cass_1: rhinoceros, owl_cass_2: platypus, owl_cass_3: sloth, owl_owl_1: ibex}"
"98",512,"google","consistency:strong","strong","strong","0ms",NA,3452.59925448,3417.974102,6736.851609,986.021887446,937.724487,1852.428024,3292.84704689,3625.035464,6233.005608,3332.82431750017,133.74938909126,"{owl_cass_1: rhinoceros, owl_cass_2: platypus, owl_cass_3: sloth, owl_owl_1: ibex}"
"99",512,"amazon","consistency:strong","strong","strong","0ms",NA,2584.13069993,2647.859343,4905.560273,792.933546305,669.340342,2399.110719,2538.8903275,2627.167655,5182.111879,2547.45944282935,168.29300863299,"{owl_cass_1: rhinoceros, owl_cass_2: platypus, owl_cass_3: sloth, owl_owl_1: ibex}"
"100",2048,"google","consistency:strong","strong","strong","0ms",NA,4692.34949402,4178.525409,11633.24221,918.410641425,895.37819,1688.549506,6155.25708802,6452.360119,14141.0234,5565.88230906417,169.79086545376,"{owl_cass_1: rhinoceros, owl_cass_2: platypus, owl_cass_3: sloth, owl_owl_1: ibex}"
"101",2048,"amazon","consistency:strong","strong","strong","0ms","Geo-
distributed",3462.65748055,3424.78411,8840.314196,838.53561292,705.788428,2282.997244,5878.62085358,6466.398891,14047.702129,4970.61328944834,187.49391229448,"{owl_cass_1: rhinoceros, owl_cass_2: platypus, owl_cass_3: sloth, owl_owl_1: ibex}"
"102",4096,"slowpoke_flat","consistency:strong","strong","strong","0ms",NA,845.579874735,662.18265,2966.624059,260.889567184,216.315,999.920402,1364.64635531,1238.70232,4904.844661,1219.05778600061,495.1966612422,"{owl_cass_1: rhinoceros, owl_cass_2: platypus, owl_cass_3: sloth, owl_owl_1: ibex}"
"103",4096,"google","consistency:strong","strong","strong","0ms",NA,4143.92001891,4021.044483,9159.819984,985.785353785,932.962443,1787.710293,5555.01123602,6277.380958,10509.104643,4959.91993198459,146.53407761981,"{owl_cass_1: rhinoceros, owl_cass_2: platypus, owl_cass_3: sloth, owl_owl_1: ibex}"
"104",4096,"amazon","consistency:strong","strong","strong","0ms",NA,3936.53086937,3642.889888,10345.09914,825.790159776,700.008544,2123.10515,5651.25727534,6145.828808,10746.707925,4975.01567156488,176.4489522109,"{owl_cass_1: rhinoceros, owl_cass_2: platypus, owl_cass_3: sloth, owl_owl_1: ibex}"
"105",128,"fast","tolerance:0.1","error: 10%","weak","20ms",NA,16.0754376655,12.286164,90.98393,19.4750929197,16.688721,77.199831,36.6584571569,36.11056,102.538834,30.9841189082404,4647.8517218008,"{owl_cass_1: rhinoceros, owl_cass_2: platypus, owl_cass_3: sloth, owl_owl_1: ibex}"
"106",128,"flat5","tolerance:0.1","error: 10%","weak","20ms","Uniform
(5ms)",34.3061207775,30.009453,76.454238,12.8643722702,10.163084,39.613281,30.2435011288,27.934525,97.239562,31.9259018427772,4836.5438850798,"{owl_cass_1: rhinoceros, owl_cass_2: platypus, owl_cass_3: sloth, owl_owl_1: ibex}"
"107",128,"slowpoke_flat","tolerance:0.1","error: 10%","weak","20ms",NA,187.283194125,154.483959,381.983436,13.9390134812,10.929728,100.870705,36.5148952184,32.286101,125.462369,83.9108111037469,1863.2838245489,"{owl_cass_1: rhinoceros, owl_cass_2: platypus, owl_cass_3: sloth, owl_owl_1: ibex}"
"108",128,"google","tolerance:0.1","error: 10%","weak","20ms",NA,356.619167441,370.665286,910.811309,7.67465635268,2.588121,166.480003,34.7726632193,6.851129,179.890361,132.315451156648,1223.5689441259,"{owl_cass_1: rhinoceros, owl_cass_2: platypus, owl_cass_3: sloth, owl_owl_1: ibex}"
"109",128,"amazon","tolerance:0.1","error: 10%","weak","20ms",NA,438.680800177,419.673131,1018.164652,9.17937970849,2.854229,226.456911,45.2616964291,7.286126,318.879003,164.165794165804,990.2211144822,"{owl_cass_1: rhinoceros, owl_cass_2: platypus, owl_cass_3: sloth, owl_owl_1: ibex}"
"110",512,"fast","tolerance:0.1","error: 10%","weak","20ms",NA,63.5812109479,19.797708,104.687309,23.374184307,15.85573,277.978281,53.3766004707,53.230312,219.138745,58.7146621382851,4347.3427218785,"{owl_cass_1: rhinoceros, owl_cass_2: platypus, owl_cass_3: sloth, owl_owl_1: ibex}"
"111",512,"flat5","tolerance:0.1","error: 10%","weak","20ms",NA,50.3370093376,44.094425,187.242543,20.8159197759,17.532097,95.561054,57.9119190837,58.211357,190.857946,59.6780212465841,3938.489982127,"{owl_cass_1: rhinoceros, owl_cass_2: platypus, owl_cass_3: sloth, owl_owl_1: ibex}"
"112",512,"slowpoke_flat","tolerance:0.1","error: 10%","weak","20ms","Slow replica",238.964673236,198.598476,609.04328,31.3625686027,24.962395,101.944496,99.1678478027,88.572087,437.312054,148.910958386559,2708.4819037345,"{owl_cass_1: rhinoceros, owl_cass_2: platypus, owl_cass_3: sloth, owl_owl_1: ibex}"
"113",512,"google","tolerance:0.1","error: 10%","weak","20ms",NA,432.614665955,442.790987,1129.846083,49.7063504832,32.740663,414.711922,151.196085083,119.745252,725.022664,247.686742264012,1725.6759774914,"{owl_cass_1: rhinoceros, owl_cass_2: platypus, owl_cass_3: sloth, owl_owl_1: ibex}"
"114",512,"amazon","tolerance:0.1","error: 10%","weak","20ms",NA,584.519838779,531.894701,1595.618352,70.0656824384,35.484043,520.123565,243.012453582,164.880387,1056.97009,353.419097623024,1362.2264304748,"{owl_cass_1: rhinoceros, owl_cass_2: platypus, owl_cass_3: sloth, owl_owl_1: ibex}"
"115",2048,"fast","tolerance:0.1","error: 10%","weak","20ms",NA,20.9015674801,19.982622,101.128701,17.4294252195,15.579232,102.194245,51.7103032852,51.371948,190.473019,43.9739392971381,4366.0324289268,"{owl_cass_1: rhinoceros, owl_cass_2: platypus, owl_cass_3: sloth, owl_owl_1: ibex}"
