"","name","nclients","nthreads","cc","rate","scale","mix","workload","alpha","phasing","async","cc_ph","timeout_scaling","throughput","op_timeouts","avg_latency_ms","txn_failed","total_time"
"227","v0.30-sampa","4",4,"boosting
 + combining",50,"16","geom_repost","post-heavy","-1","off",0,"boosting
 + combining",500,3846.02951639698,0,3.24156037709691,0,60.0141
"228","v0.30-sampa","4",4,"boosting
 + combining",50,"16","2read2heavy","read-heavy","-1","off",0,"boosting
 + combining",500,5659.56049852605,0,1.42033542976939,0,60.0089
"229","v0.30-sampa","4",8,"r/w locks",50,"16","geom_repost","post-heavy","-1","off",0,"r/w locks
(baseline)",500,820.488206481977,0,31.1351966200845,0,60.0033
"230","v0.30-sampa","4",8,"boosting",50,"16","geom_repost","post-heavy","-1","off",0,"boosting",500,6133.12580510233,24,4.61688530469845,0,60.0079
"231","v0.30-sampa","4",8,"r/w locks",50,"16","geom_repost","post-heavy","-1","off",0,"without
transactions",500,8686.01430168119,0,2.72921620667966,0,60.0349
"232","v0.30-sampa","4",8,"r/w locks",50,"16","geom_repost","post-heavy","-1","on",0,"r/w locks
 + phasing",500,968.316173808985,266,27.5054622422504,1,60.5009
"233","v0.30-sampa","4",8,"r/w locks",50,"16","geom_repost","post-heavy","-1","off",0,"without
transactions",500,8598.05175768236,0,2.76991390466744,0,60.0336
"234","v0.30-sampa","4",8,"r/w locks",50,"16","2read2heavy","read-heavy","-1","off",0,"r/w locks
(baseline)",500,9310.12877596182,8,2.07415627371526,0,60.0112
"235","v0.30-sampa","4",8,"boosting",50,"16","2read2heavy","read-heavy","-1","off",0,"boosting",500,12021.9763006561,0,1.37986249722777,0,60.0101
"236","v0.30-sampa","4",8,"r/w locks",50,"16","2read2heavy","read-heavy","-1","off",0,"without
transactions",500,12033.474448493,0,1.02872602011431,0,60.0219
"237","v0.30-sampa","4",8,"r/w locks",50,"16","2read2heavy","read-heavy","-1","on",0,"r/w locks
 + phasing",500,7801.59924286731,62,2.67023194224937,0,60.0159
"238","v0.30-sampa","4",8,"r/w locks",50,"16","2read2heavy","read-heavy","-1","off",0,"without
transactions",500,12153.0611054931,0,1.02364372114446,0,60.0257
"239","v0.30-sampa","4",8,"boosting
 + combining",50,"16","geom_repost","post-heavy","-1","off",0,"boosting
 + combining",500,6215.15749835462,71,4.55275433498118,0,60.0165
"240","v0.30-sampa","4",8,"boosting
 + combining",50,"16","2read2heavy","read-heavy","-1","off",0,"boosting
 + combining",500,11795.3511933626,0,1.43735131072597,0,60.0111
"241","v0.30-sampa","4",16,"r/w locks",50,"16","geom_repost","post-heavy","-1","off",0,"r/w locks
(baseline)",500,623.352209663926,0,56.4998395893487,0,60.0046
"242","v0.30-sampa","4",16,"boosting",50,"16","geom_repost","post-heavy","-1","off",0,"boosting",500,6991.5802839009,33,8.79035825277889,0,60.0139
"243","v0.30-sampa","4",16,"r/w locks",50,"16","geom_repost","post-heavy","-1","off",0,"without
transactions",500,10095.1683016605,0,5.88950775748857,0,60.041
"244","v0.30-sampa","4",16,"r/w locks",50,"16","geom_repost","post-heavy","-1","on",0,"r/w locks
 + phasing",500,1144.77192785727,633,37.0860270815327,9,60.6409
"245","v0.30-sampa","4",16,"r/w locks",50,"16","geom_repost","post-heavy","-1","off",0,"without
transactions",500,9360.43625849048,0,6.3878856898822,0,60.0378
"246","v0.30-sampa","4",16,"r/w locks",50,"16","2read2heavy","read-heavy","-1","off",0,"r/w locks
(baseline)",500,7295.89889802985,0,6.29966745235615,0,60.0107
"247","v0.30-sampa","4",16,"boosting",50,"16","2read2heavy","read-heavy","-1","off",0,"boosting",500,17137.3723975431,59,3.19421950479569,0,60.0106
"248","v0.30-sampa","4",16,"r/w locks",50,"16","2read2heavy","read-heavy","-1","off",0,"without
transactions",500,23667.8122298167,0,1.84580798283721,0,60.0287
"249","v0.30-sampa","4",16,"r/w locks",50,"16","2read2heavy","read-heavy","-1","on",0,"r/w locks
 + phasing",500,10524.3717782172,311,4.18937940664054,1,60.4285
"250","v0.30-sampa","4",16,"r/w locks",50,"16","2read2heavy","read-heavy","-1","off",0,"without
transactions",500,24244.2899669001,0,1.70596512829533,0,60.0303
"251","v0.30-sampa","4",16,"boosting
 + combining",50,"16","geom_repost","post-heavy","-1","off",0,"boosting
 + combining",500,7414.89751708049,23,8.23473148630913,0,60.01
"252","v0.30-sampa","4",16,"boosting
 + combining",50,"16","2read2heavy","read-heavy","-1","off",0,"boosting
 + combining",500,13171.2966434543,131,4.41472424926369,0,60.0111
"253","v0.30-sampa","4",32,"r/w locks",50,"16","geom_repost","post-heavy","-1","off",0,"r/w locks
(baseline)",500,661.253982855391,0,77.4653225806452,0,60.0072
"254","v0.30-sampa","4",32,"boosting",50,"16","geom_repost","post-heavy","-1","off",0,"boosting",500,6947.76614211794,262,18.0596957664346,0,60.0262
"255","v0.30-sampa","4",32,"r/w locks",50,"16","geom_repost","post-heavy","-1","off",0,"without
transactions",500,10547.1337717509,0,11.8361469523864,0,60.0493
"256","v0.30-sampa","4",32,"r/w locks",50,"16","geom_repost","post-heavy","-1","on",0,"r/w locks
 + phasing",500,1382.84698553406,1411,47.5894782028045,29,60.6459
"257","v0.30-sampa","4",32,"r/w locks",50,"16","geom_repost","post-heavy","-1","off",0,"without
transactions",500,10507.2016066852,0,11.8692507147974,0,60.0491
"258","v0.30-sampa","4",32,"r/w locks",50,"16","2read2heavy","read-heavy","-1","off",0,"r/w locks
(baseline)",500,6615.81916196602,0,10.9151360664161,0,60.0095
"259","v0.30-sampa","4",32,"boosting",50,"16","2read2heavy","read-heavy","-1","off",0,"boosting",500,18563.6301830955,128,6.64165278336302,0,60.0124
"260","v0.30-sampa","4",32,"r/w locks",50,"16","2read2heavy","read-heavy","-1","off",0,"without
transactions",500,32795.9639562821,0,3.46478529933511,0,45.0342
"261","v0.30-sampa","4",32,"r/w locks",50,"16","2read2heavy","read-heavy","-1","on",0,"r/w locks
 + phasing",500,15189.4548202811,906,4.68914179931427,19,60.6002
"262","v0.30-sampa","4",32,"r/w locks",50,"16","2read2heavy","read-heavy","-1","off",0,"without
transactions",500,25870.2234895551,0,4.58165401760996,0,60.0386
"263","v0.30-sampa","4",32,"boosting
 + combining",50,"16","geom_repost","post-heavy","-1","off",0,"boosting
 + combining",500,427.333181073344,44274,8.58102947281029,0,45.0983
"264","v0.30-sampa","4",32,"boosting
 + combining",50,"16","2read2heavy","read-heavy","-1","off",0,"boosting
 + combining",500,15567.7711219789,276,7.8706871085271,0,60.0145
"265","v0.30-sampa","4",64,"r/w locks",50,"16","geom_repost","post-heavy","-1","off",0,"r/w locks
(baseline)",500,995.980794909451,0,107.207995003123,0,45.0089
"266","v0.30-sampa","4",64,"boosting",50,"16","geom_repost","post-heavy","-1","off",0,"boosting",500,1969.13559716633,91297,38.6160186467588,0,60.134
"267","v0.30-sampa","4",64,"r/w locks",50,"16","geom_repost","post-heavy","-1","off",0,"without
transactions",500,10440.7967140457,0,24.0887780421374,0,60.0617
"268","v0.30-sampa","4",64,"r/w locks",50,"16","geom_repost","post-heavy","-1","on",0,"r/w locks
 + phasing",500,1994.69198687833,2984,55.2791643251463,76,60.663
"269","v0.30-sampa","4",64,"r/w locks",50,"16","geom_repost","post-heavy","-1","off",0,"without
transactions",500,13457.2885064792,0,18.7549639167777,0,45.0593
"270","v0.30-sampa","4",64,"r/w locks",50,"16","2read2heavy","read-heavy","-1","off",0,"r/w locks
(baseline)",500,6841.47032359116,0,19.9292714767258,0,60.014
"271","v0.30-sampa","4",64,"boosting",50,"16","2read2heavy","read-heavy","-1","off",0,"boosting",500,18735.4393237815,0,13.5585737815138,0,60.0161
"272","v0.30-sampa","4",64,"r/w locks",50,"16","2read2heavy","read-heavy","-1","off",0,"without
transactions",500,25269.983796809,0,9.92284475373321,0,60.0499
"273","v0.30-sampa","4",64,"r/w locks",50,"16","2read2heavy","read-heavy","-1","on",0,"r/w locks
 + phasing",500,18036.1394137237,2220,7.62924556932404,51,60.654
"274","v0.30-sampa","4",64,"r/w locks",50,"16","2read2heavy","read-heavy","-1","off",0,"without
transactions",500,26995.1657677071,0,9.28166584828423,0,60.0509
"275","v0.30-sampa","4",64,"boosting
 + combining",50,"16","geom_repost","post-heavy","-1","off",0,"boosting
 + combining",500,1657.61199440589,96668,38.3527287319422,0,60.1347
"276","v0.30-sampa","4",64,"boosting
 + combining",50,"16","2read2heavy","read-heavy","-1","off",0,"boosting
 + combining",500,14265.4914440908,192,17.6711688772817,0,60.017
