"","name","nclients","nthreads","cc","phasing","rate","facet","zipf","commute_ratio","timeout_scaling","throughput","op_timeouts"
"264","v0.27-sampa",4,64,"r/w locks","off",100,"50% update
zipf: 1",1,"0.5",200,2283.51373855121,1
"265","v0.27-sampa",4,96,"r/w locks","off",100,"50% update
zipf: 1",1,"0.5",200,1960.18140297835,24
"266","v0.27-sampa",4,16,"r/w locks","off",100,"50% update
zipf: 1.2",1.2,"0.5",200,2504.32385508956,0
"267","v0.27-sampa",4,64,"r/w locks","off",100,"50% update
zipf: 1.2",1.2,"0.5",200,1400.31707253684,1
"268","v0.27-sampa",4,96,"r/w locks","off",100,"50% update
zipf: 1.2",1.2,"0.5",200,1181.10210915682,37
"269","v0.27-sampa",4,16,"boosting","off",100,"50% update
zipf: 0.2",0.2,"0.5",200,25343.6293436293,0
"270","v0.27-sampa",4,64,"boosting","off",100,"50% update
zipf: 0.2",0.2,"0.5",200,37008.1796204921,0
"271","v0.27-sampa",4,96,"boosting","off",100,"50% update
zipf: 0.2",0.2,"0.5",200,33941.744754818,31
"272","v0.27-sampa",4,16,"boosting","off",100,"50% update
zipf: 0.4",0.4,"0.5",200,25349.6298663258,0
"273","v0.27-sampa",4,64,"boosting","off",100,"50% update
zipf: 0.4",0.4,"0.5",200,32970.6791655909,7
"274","v0.27-sampa",4,96,"boosting","off",100,"50% update
zipf: 0.4",0.4,"0.5",200,29726.7327515492,21
"275","v0.27-sampa",4,16,"boosting","off",100,"50% update
zipf: 0.8",0.8,"0.5",200,24710.2437985451,0
"276","v0.27-sampa",4,64,"boosting","off",100,"50% update
zipf: 0.8",0.8,"0.5",200,16881.3422756737,0
"277","v0.27-sampa",4,96,"boosting","off",100,"50% update
zipf: 0.8",0.8,"0.5",200,14569.514731653,20
"278","v0.27-sampa",4,16,"boosting","off",100,"50% update
zipf: 1",1,"0.5",200,14404.913609247,0
"279","v0.27-sampa",4,64,"boosting","off",100,"50% update
zipf: 1",1,"0.5",200,10804.8829455655,1
"280","v0.27-sampa",4,96,"boosting","off",100,"50% update
zipf: 1",1,"0.5",200,8306.17519531314,32
"281","v0.27-sampa",4,16,"boosting","off",100,"50% update
zipf: 1.2",1.2,"0.5",200,10939.2110813202,0
"282","v0.27-sampa",4,64,"boosting","off",100,"50% update
zipf: 1.2",1.2,"0.5",200,7755.43549874819,1
"283","v0.27-sampa",4,96,"boosting","off",100,"50% update
zipf: 1.2",1.2,"0.5",200,6072.07365533132,34
"284","v0.27-sampa",4,16,"r/w locks","on",100,"50% update
zipf: 0.2",0.2,"0.5",200,25348.3905968654,0
"285","v0.27-sampa",4,64,"r/w locks","on",100,"50% update
zipf: 0.2",0.2,"0.5",200,46239.908711135,1782
"286","v0.27-sampa",4,96,"r/w locks","on",100,"50% update
zipf: 0.2",0.2,"0.5",200,45612.3943372472,4349
"287","v0.27-sampa",4,16,"r/w locks","on",100,"50% update
zipf: 0.4",0.4,"0.5",200,25347.5152757625,0
"288","v0.27-sampa",4,64,"r/w locks","on",100,"50% update
zipf: 0.4",0.4,"0.5",200,41735.3255209186,4301
"289","v0.27-sampa",4,96,"r/w locks","on",100,"50% update
zipf: 0.4",0.4,"0.5",200,43432.0797759627,10466
"290","v0.27-sampa",4,16,"r/w locks","on",100,"50% update
zipf: 0.8",0.8,"0.5",200,11748.6643808309,0
"291","v0.27-sampa",4,64,"r/w locks","on",100,"50% update
zipf: 0.8",0.8,"0.5",200,11930.3863922722,104
"292","v0.27-sampa",4,96,"r/w locks","on",100,"50% update
zipf: 0.8",0.8,"0.5",200,12914.7489539749,9261
"293","v0.27-sampa",4,16,"r/w locks","on",100,"50% update
zipf: 1",1,"0.5",200,6187.00593295462,6
"294","v0.27-sampa",4,64,"r/w locks","on",100,"50% update
zipf: 1",1,"0.5",200,5938.40980313905,148
"295","v0.27-sampa",4,96,"r/w locks","on",100,"50% update
zipf: 1",1,"0.5",200,6428.00962112732,8904
"296","v0.27-sampa",4,16,"r/w locks","on",100,"50% update
zipf: 1.2",1.2,"0.5",200,3957.66472292563,7
"297","v0.27-sampa",4,64,"r/w locks","on",100,"50% update
zipf: 1.2",1.2,"0.5",200,4041.31435719759,137
"298","v0.27-sampa",4,96,"r/w locks","on",100,"50% update
zipf: 1.2",1.2,"0.5",200,4068.80650760343,224
"299","v0.27-sampa",4,16,"boosting","on",100,"50% update
zipf: 0.2",0.2,"0.5",200,25344.8631664437,0
"300","v0.27-sampa",4,64,"boosting","on",100,"50% update
zipf: 0.2",0.2,"0.5",200,47726.1341497356,5
"301","v0.27-sampa",4,96,"boosting","on",100,"50% update
zipf: 0.2",0.2,"0.5",200,48308.9210865045,44
"302","v0.27-sampa",4,16,"boosting","on",100,"50% update
zipf: 0.4",0.4,"0.5",200,25342.4698564625,0
"303","v0.27-sampa",4,64,"boosting","on",100,"50% update
zipf: 0.4",0.4,"0.5",200,46094.6749484598,7
"304","v0.27-sampa",4,96,"boosting","on",100,"50% update
zipf: 0.4",0.4,"0.5",200,47877.5222498172,31
"305","v0.27-sampa",4,16,"boosting","on",100,"50% update
zipf: 0.8",0.8,"0.5",200,25338.7689901326,0
"306","v0.27-sampa",4,64,"boosting","on",100,"50% update
zipf: 0.8",0.8,"0.5",200,41924.3576757827,17
"307","v0.27-sampa",4,96,"boosting","on",100,"50% update
zipf: 0.8",0.8,"0.5",200,42705.7860406158,51
"308","v0.27-sampa",4,16,"boosting","on",100,"50% update
zipf: 1",1,"0.5",200,24395.1202305445,0
"309","v0.27-sampa",4,64,"boosting","on",100,"50% update
zipf: 1",1,"0.5",200,36814.1123943839,24
"310","v0.27-sampa",4,96,"boosting","on",100,"50% update
zipf: 1",1,"0.5",200,37606.3301702272,73
"311","v0.27-sampa",4,16,"boosting","on",100,"50% update
zipf: 1.2",1.2,"0.5",200,22049.7051502203,0
"312","v0.27-sampa",4,64,"boosting","on",100,"50% update
zipf: 1.2",1.2,"0.5",200,30746.5484181837,27
"313","v0.27-sampa",4,96,"boosting","on",100,"50% update
zipf: 1.2",1.2,"0.5",200,32331.9072518882,74
"314","v0.27-sampa",4,16,"boosting
 + combining","off",100,"50% update
zipf: 0.2",0.2,"0.5",200,25348.1638277053,0
"315","v0.27-sampa",4,64,"boosting
 + combining","off",100,"50% update
zipf: 0.2",0.2,"0.5",200,38440.3295862281,0
"316","v0.27-sampa",4,96,"boosting
 + combining","off",100,"50% update
zipf: 0.2",0.2,"0.5",200,35565.7004129778,10
"317","v0.27-sampa",4,16,"boosting
 + combining","off",100,"50% update
zipf: 0.4",0.4,"0.5",200,25341.4627652493,0
"318","v0.27-sampa",4,64,"boosting
 + combining","off",100,"50% update
zipf: 0.4",0.4,"0.5",200,35416.6818375906,0
"319","v0.27-sampa",4,96,"boosting
 + combining","off",100,"50% update
zipf: 0.4",0.4,"0.5",200,32657.0826702238,31
"320","v0.27-sampa",4,16,"boosting
 + combining","off",100,"50% update
zipf: 0.8",0.8,"0.5",200,25239.8415920663,0
"321","v0.27-sampa",4,64,"boosting
 + combining","off",100,"50% update
zipf: 0.8",0.8,"0.5",200,22254.5867471232,1
"322","v0.27-sampa",4,96,"boosting
 + combining","off",100,"50% update
zipf: 0.8",0.8,"0.5",200,12813.9798918182,0
"323","v0.27-sampa",4,16,"boosting
 + combining","off",100,"50% update
zipf: 1",1,"0.5",200,18298.2475403345,0
"324","v0.27-sampa",4,64,"boosting
 + combining","off",100,"50% update
zipf: 1",1,"0.5",200,2343.11522265616,1
"325","v0.27-sampa",4,96,"boosting
 + combining","off",100,"50% update
zipf: 1",1,"0.5",200,8501.48798565296,21
"326","v0.27-sampa",4,16,"boosting
 + combining","off",100,"50% update
zipf: 1.2",1.2,"0.5",200,2671.15749273998,0
"327","v0.27-sampa",4,64,"boosting
 + combining","off",100,"50% update
zipf: 1.2",1.2,"0.5",200,3615.30315641764,0
"328","v0.27-sampa",4,96,"boosting
 + combining","off",100,"50% update
zipf: 1.2",1.2,"0.5",200,2117.09601873536,1
"329","v0.27-sampa",4,16,"boosting
 + combining","on",100,"50% update
zipf: 0.2",0.2,"0.5",200,25340.7037383395,0
"330","v0.27-sampa",4,64,"boosting
 + combining","on",100,"50% update
zipf: 0.2",0.2,"0.5",200,49440.1118914494,9
"331","v0.27-sampa",4,96,"boosting
 + combining","on",100,"50% update
zipf: 0.2",0.2,"0.5",200,50742.8737580498,37
"332","v0.27-sampa",4,16,"boosting
 + combining","on",100,"50% update
zipf: 0.4",0.4,"0.5",200,25347.6893378376,0
"333","v0.27-sampa",4,64,"boosting
 + combining","on",100,"50% update
zipf: 0.4",0.4,"0.5",200,47936.3660146302,10
"334","v0.27-sampa",4,96,"boosting
 + combining","on",100,"50% update
zipf: 0.4",0.4,"0.5",200,49674.8536775489,27
"335","v0.27-sampa",4,16,"boosting
 + combining","on",100,"50% update
zipf: 0.8",0.8,"0.5",200,25350.0670613803,0
"336","v0.27-sampa",4,64,"boosting
 + combining","on",100,"50% update
zipf: 0.8",0.8,"0.5",200,46598.6808995312,18
"337","v0.27-sampa",4,96,"boosting
 + combining","on",100,"50% update
zipf: 0.8",0.8,"0.5",200,48298.3806042049,46
"338","v0.27-sampa",4,16,"boosting
 + combining","on",100,"50% update
zipf: 1",1,"0.5",200,25115.4958450782,0
"339","v0.27-sampa",4,64,"boosting
 + combining","on",100,"50% update
zipf: 1",1,"0.5",200,46809.2917231302,14
"340","v0.27-sampa",4,96,"boosting
 + combining","on",100,"50% update
zipf: 1",1,"0.5",200,49565.9124690339,56
"341","v0.27-sampa",4,16,"boosting
 + combining","on",100,"50% update
zipf: 1.2",1.2,"0.5",200,24563.2483012439,0
"342","v0.27-sampa",4,64,"boosting
 + combining","on",100,"50% update
zipf: 1.2",1.2,"0.5",200,47458.6651554469,16
"343","v0.27-sampa",4,96,"boosting
 + combining","on",100,"50% update
zipf: 1.2",1.2,"0.5",200,51781.3414738901,64
"344","v0.27-sampa",4,4,"r/w locks","off",100,"50% update
zipf: 0.6",0.6,"0.5",200,6338.99807103521,0
"345","v0.27-sampa",4,16,"r/w locks","off",100,"50% update
zipf: 0.6",0.6,"0.5",200,17305.8824703116,0
"346","v0.27-sampa",4,32,"r/w locks","off",100,"50% update
zipf: 0.6",0.6,"0.5",200,12198.0056838999,0
"347","v0.27-sampa",4,64,"r/w locks","off",100,"50% update
zipf: 0.6",0.6,"0.5",200,9081.48268839104,0
"348","v0.27-sampa",4,96,"r/w locks","off",100,"50% update
zipf: 0.6",0.6,"0.5",200,7640.4595891317,15
"349","v0.27-sampa",4,4,"boosting","off",100,"50% update
zipf: 0.6",0.6,"0.5",200,6338.80800879502,0
"350","v0.27-sampa",4,16,"boosting","off",100,"50% update
zipf: 0.6",0.6,"0.5",200,25353.1514380995,0
